Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada,Perimetro,Estacao,Custo_Fertilizante
Uva,39,152.1,Silte,Sulcos,Mensal,32,Fosfato,Insetos,Sim,Médio,85.58736312452001,Verão,180
Uva,2,7.0,Aluvial,Aspersão,Mensal,28,Nitrogênio,Ferrugem,Sim,Alto,98.80995472389016,Inverno,200
Arroz,3,11.1,Areia,Gotejamento,Mensal,32,Nitrogênio,Ferrugem,Não,Baixo,161.9737107677036,Inverno,200
Soja,56,212.8,Argila,Sulcos,Mensal,33,Composto,Fungos,Sim,Alto,147.44493485708222,Verão,150
Café,81,356.40000000000003,Argila,Sulcos,Mensal,32,Nenhum,Nenhuma,Não,Alto,177.3835115741267,Primavera,0
Batata,59,165.20000000000002,Argila,Gotejamento,Mensal,21,Nitrogênio,Ferrugem,Não,Alto,148.6419338450515,Verão,200
Arroz,2,8.6,Silte,Aspersão,Diária,35,Fosfato,Insetos,Não,Baixo,135.24629050032075,Inverno,180
Cana-de-Açúcar,2,6.0,Calcário,Gotejamento,Mensal,20,Orgânico,Fungos,Sim,Médio,64.05121517421387,Verão,100
Soja,92,312.8,Aluvial,Gotejamento,Diária,24,Orgânico,Ferrugem,Sim,Baixo,105.15737045891503,Primavera,100
Soja,54,156.6,Areia,Sulcos,Diária,19,Orgânico,Insetos,Sim,Médio,89.78035515225882,Verão,100
Batata,87,269.7,Areia,Aspersão,Mensal,21,Nenhum,Fungos,Sim,Médio,86.59844650686253,Inverno,0
Milho,96,278.40000000000003,Silte,Aspersão,Semanal,21,Composto,Ferrugem,Sim,Alto,195.95158321286684,Primavera,150
Café,97,310.40000000000003,Argila,Sulcos,Semanal,21,Fosfato,Fungos,Sim,Médio,108.96465870001407,Outono,180
Soja,1,3.8,Silte,Gotejamento,Mensal,28,Nenhum,Ferrugem,Sim,Baixo,183.806983276567,Inverno,0
Batata,19,91.2,Calcário,Aspersão,Diária,33,Fosfato,Nenhuma,Sim,Baixo,144.67079389958943,Primavera,180
Batata,2,8.0,Calcário,Sulcos,Mensal,30,Fosfato,Ferrugem,Sim,Médio,169.22169553124726,Primavera,180
Arroz,53,180.2,Aluvial,Sulcos,Diária,21,Composto,Ferrugem,Sim,Alto,125.39556396577882,Outono,150
Cana-de-Açúcar,44,162.8,Aluvial,Sulcos,Mensal,32,Orgânico,Fungos,Sim,Alto,136.53558269395387,Verão,100
Milho,90,324.0,Calcário,Aspersão,Mensal,31,Composto,Fungos,Sim,Baixo,123.87765407282959,Verão,150
Café,32,156.8,Calcário,Gotejamento,Semanal,33,Nenhum,Nenhuma,Sim,Alto,79.28644816970667,Inverno,0
Uva,70,245.0,Calcário,Sulcos,Mensal,25,Nenhum,Fungos,Não,Médio,158.3678172892258,Outono,0
Trigo,32,121.6,Silte,Aspersão,Semanal,22,Nenhum,Nenhuma,Não,Médio,92.11585436612836,Verão,0
Cana-de-Açúcar,68,272.0,Calcário,Aspersão,Mensal,30,Composto,Fungos,Sim,Baixo,53.647394964718075,Outono,150
Cana-de-Açúcar,55,181.50000000000003,Areia,Aspersão,Semanal,27,Fosfato,Insetos,Não,Médio,146.82084438607518,Verão,180
Arroz,75,300.0,Argila,Gotejamento,Mensal,33,Fosfato,Ferrugem,Sim,Baixo,76.56660191105735,Primavera,180
Uva,56,218.4,Calcário,Aspersão,Semanal,31,Nitrogênio,Fungos,Sim,Médio,191.06878765293715,Verão,200
Soja,17,57.8,Argila,Aspersão,Mensal,24,Nenhum,Insetos,Sim,Baixo,193.0892865503881,Outono,0
Soja,38,121.6,Silte,Aspersão,Mensal,20,Fosfato,Nenhuma,Não,Alto,187.22965853306727,Primavera,180
Arroz,24,98.4,Argila,Sulcos,Mensal,31,Nitrogênio,Nenhuma,Sim,Médio,105.52380503831665,Primavera,200
Batata,69,296.7,Silte,Sulcos,Mensal,33,Fosfato,Insetos,Sim,Médio,52.31849247933012,Primavera,180
Soja,98,411.5999999999999,Areia,Sulcos,Semanal,26,Nenhum,Nenhuma,Sim,Baixo,189.2477843881588,Outono,0
Milho,70,287.0,Silte,Gotejamento,Diária,31,Orgânico,Ferrugem,Não,Baixo,114.22762224759715,Inverno,100
Café,86,361.19999999999993,Silte,Gotejamento,Semanal,26,Nenhum,Nenhuma,Sim,Médio,194.99822285655043,Inverno,0
Cana-de-Açúcar,11,51.7,Aluvial,Sulcos,Diária,34,Composto,Ferrugem,Não,Baixo,194.54299656338793,Inverno,150
Cana-de-Açúcar,16,49.6,Calcário,Sulcos,Diária,18,Fosfato,Insetos,Sim,Médio,177.951418320104,Outono,180
Milho,97,320.1,Calcário,Aspersão,Mensal,23,Fosfato,Ferrugem,Não,Alto,94.16733381043785,Primavera,180
Uva,73,328.5,Areia,Sulcos,Semanal,34,Composto,Fungos,Sim,Baixo,107.76465929028879,Inverno,150
Soja,59,188.8,Areia,Aspersão,Diária,24,Composto,Insetos,Não,Médio,177.67050072752852,Outono,150
Cana-de-Açúcar,70,259.0,Calcário,Aspersão,Semanal,24,Orgânico,Nenhuma,Sim,Alto,97.53830077344165,Inverno,100
Trigo,80,368.0,Aluvial,Aspersão,Mensal,31,Fosfato,Nenhuma,Sim,Alto,75.42391200291388,Verão,180
Uva,93,241.8,Calcário,Gotejamento,Semanal,18,Fosfato,Insetos,Sim,Médio,133.52018936875254,Inverno,180
Café,3,8.7,Aluvial,Sulcos,Mensal,19,Orgânico,Ferrugem,Não,Baixo,190.42321612411715,Inverno,100
Café,20,62.0,Areia,Gotejamento,Diária,18,Nitrogênio,Nenhuma,Sim,Médio,154.40446950124596,Primavera,200
Cana-de-Açúcar,59,283.2,Argila,Sulcos,Diária,35,Orgânico,Ferrugem,Não,Alto,135.50917551340473,Outono,100
Arroz,36,93.6,Areia,Sulcos,Semanal,20,Nenhum,Insetos,Não,Médio,64.57647406561529,Primavera,0
Uva,19,62.7,Areia,Aspersão,Diária,18,Fosfato,Nenhuma,Sim,Baixo,142.25108400487545,Primavera,180
Cana-de-Açúcar,90,297.0,Silte,Sulcos,Mensal,26,Composto,Ferrugem,Não,Alto,198.50807751563949,Primavera,150
Arroz,67,221.1,Silte,Gotejamento,Mensal,28,Nenhum,Insetos,Não,Médio,71.01260228547861,Primavera,0
Cana-de-Açúcar,19,58.9,Silte,Gotejamento,Diária,23,Fosfato,Fungos,Não,Baixo,127.74944785456051,Primavera,180
Trigo,20,64.0,Silte,Sulcos,Mensal,22,Orgânico,Nenhuma,Sim,Alto,181.60596078919332,Inverno,100
Uva,96,384.0,Aluvial,Gotejamento,Semanal,29,Nenhum,Fungos,Sim,Baixo,161.11529266313067,Primavera,0
Batata,71,305.3,Calcário,Sulcos,Diária,30,Fosfato,Nenhuma,Sim,Alto,154.5523611492902,Primavera,180
Café,52,192.4,Argila,Aspersão,Mensal,32,Nitrogênio,Fungos,Sim,Médio,155.37261259806638,Outono,200
Cana-de-Açúcar,33,89.10000000000001,Areia,Sulcos,Mensal,20,Nitrogênio,Insetos,Não,Baixo,103.92367268296327,Verão,200
Trigo,40,132.0,Aluvial,Aspersão,Mensal,26,Composto,Ferrugem,Não,Alto,94.03877663967401,Inverno,150
Arroz,39,144.3,Argila,Gotejamento,Diária,24,Fosfato,Insetos,Não,Baixo,171.40417332177702,Inverno,180
Arroz,82,319.8,Aluvial,Aspersão,Diária,26,Nitrogênio,Fungos,Sim,Baixo,171.5170092018771,Inverno,200
Café,1,3.5,Aluvial,Aspersão,Diária,22,Orgânico,Nenhuma,Não,Médio,180.06084778701555,Primavera,100
Milho,11,26.4,Areia,Aspersão,Semanal,18,Fosfato,Insetos,Sim,Baixo,186.9860828834707,Primavera,180
Cana-de-Açúcar,92,404.8,Calcário,Sulcos,Semanal,33,Orgânico,Nenhuma,Sim,Alto,126.70135982914067,Primavera,100
Uva,57,245.1,Silte,Aspersão,Diária,35,Orgânico,Ferrugem,Sim,Alto,125.22744420307994,Outono,100
Soja,89,338.2,Calcário,Sulcos,Diária,28,Nitrogênio,Ferrugem,Não,Alto,169.74427684501626,Verão,200
Arroz,50,230.0,Areia,Gotejamento,Mensal,31,Fosfato,Nenhuma,Não,Alto,147.49458961666477,Primavera,180
Uva,23,69.0,Areia,Gotejamento,Semanal,24,Nenhum,Fungos,Não,Médio,155.2950315886555,Verão,0
Uva,31,105.4,Areia,Gotejamento,Diária,24,Nitrogênio,Insetos,Sim,Baixo,169.36890041541517,Outono,200
Batata,94,357.2,Argila,Aspersão,Semanal,27,Nitrogênio,Ferrugem,Sim,Médio,183.50080127263493,Inverno,200
Uva,42,189.0,Calcário,Gotejamento,Diária,35,Fosfato,Fungos,Não,Baixo,100.69927352773037,Primavera,180
Uva,99,287.1,Calcário,Aspersão,Mensal,19,Fosfato,Nenhuma,Sim,Baixo,106.3374428959916,Verão,180
Batata,7,34.300000000000004,Aluvial,Sulcos,Diária,31,Orgânico,Nenhuma,Não,Baixo,64.09729097613035,Verão,100
Arroz,16,49.6,Aluvial,Sulcos,Mensal,24,Fosfato,Insetos,Não,Médio,136.74202114942608,Primavera,180
Uva,90,360.0,Aluvial,Aspersão,Diária,27,Orgânico,Fungos,Não,Baixo,55.39134106951131,Inverno,100
Milho,60,204.00000000000003,Areia,Aspersão,Semanal,21,Nitrogênio,Nenhuma,Não,Médio,119.83970271986902,Inverno,200
Milho,2,7.6,Calcário,Aspersão,Semanal,32,Composto,Fungos,Sim,Alto,131.39669520613649,Inverno,150
Trigo,1,4.4,Areia,Aspersão,Diária,29,Nenhum,Nenhuma,Não,Alto,92.98118781924266,Outono,0
Batata,48,192.0,Argila,Sulcos,Semanal,29,Nitrogênio,Insetos,Não,Baixo,138.62498908535161,Verão,200
Trigo,12,43.2,Aluvial,Gotejamento,Mensal,26,Fosfato,Ferrugem,Sim,Médio,54.57503749085741,Verão,180
Batata,69,269.1,Areia,Aspersão,Diária,31,Nenhum,Ferrugem,Sim,Alto,55.60222831238217,Verão,0
Cana-de-Açúcar,37,122.1,Areia,Aspersão,Mensal,21,Composto,Nenhuma,Sim,Médio,173.39008409894873,Outono,150
Cana-de-Açúcar,32,105.6,Argila,Sulcos,Semanal,20,Composto,Nenhuma,Sim,Médio,104.02859621168943,Verão,150
Uva,9,27.9,Silte,Sulcos,Diária,18,Orgânico,Fungos,Não,Baixo,69.05907689778272,Outono,100
Soja,99,336.6,Calcário,Gotejamento,Diária,24,Nenhum,Ferrugem,Não,Alto,128.33648900822067,Inverno,0
Cana-de-Açúcar,19,81.7,Silte,Aspersão,Semanal,27,Orgânico,Nenhuma,Sim,Baixo,165.49903296479164,Primavera,100
Soja,48,187.2,Aluvial,Sulcos,Mensal,27,Nitrogênio,Nenhuma,Não,Baixo,82.37315412452648,Verão,200
Cana-de-Açúcar,80,304.0,Areia,Sulcos,Mensal,26,Nenhum,Nenhuma,Sim,Alto,143.43357137285005,Verão,0
Café,3,9.9,Argila,Sulcos,Semanal,27,Nitrogênio,Insetos,Sim,Alto,62.8021197490652,Inverno,200
Cana-de-Açúcar,20,74.0,Argila,Gotejamento,Mensal,22,Orgânico,Nenhuma,Não,Médio,57.75225817529115,Primavera,100
Trigo,24,64.80000000000001,Calcário,Sulcos,Mensal,20,Nenhum,Insetos,Sim,Alto,129.7031947352222,Outono,0
Arroz,54,178.20000000000002,Silte,Sulcos,Mensal,26,Orgânico,Insetos,Sim,Médio,131.09526824151598,Primavera,100
Uva,33,125.4,Calcário,Aspersão,Mensal,33,Nenhum,Fungos,Sim,Médio,145.61448522473097,Inverno,0
Trigo,24,98.4,Areia,Sulcos,Diária,26,Orgânico,Nenhuma,Não,Médio,158.91370005839923,Inverno,100
Arroz,75,247.5,Calcário,Sulcos,Diária,23,Composto,Fungos,Não,Alto,196.37781191938018,Primavera,150
Milho,72,309.6,Argila,Gotejamento,Diária,30,Orgânico,Insetos,Sim,Baixo,127.4450522451793,Outono,100
Trigo,36,147.6,Argila,Aspersão,Diária,33,Composto,Ferrugem,Não,Médio,98.44347094118689,Outono,150
Milho,38,98.8,Aluvial,Gotejamento,Diária,18,Orgânico,Insetos,Não,Baixo,169.27792921530556,Verão,100
Soja,84,327.6,Aluvial,Sulcos,Semanal,28,Nenhum,Ferrugem,Não,Baixo,90.62483768931114,Outono,0
Soja,99,356.40000000000003,Areia,Sulcos,Diária,28,Nenhum,Fungos,Sim,Alto,115.84571310584542,Primavera,0
Café,89,338.2,Silte,Aspersão,Semanal,27,Nenhum,Ferrugem,Não,Baixo,61.76845720133989,Inverno,0
Cana-de-Açúcar,99,465.3,Calcário,Gotejamento,Diária,32,Fosfato,Nenhuma,Não,Baixo,53.80261151231863,Verão,180
Trigo,25,122.5,Areia,Aspersão,Semanal,33,Nitrogênio,Nenhuma,Sim,Alto,194.39726220168876,Verão,200
Milho,93,381.3,Aluvial,Sulcos,Diária,31,Nenhum,Insetos,Sim,Médio,175.39701807683088,Inverno,0
Arroz,18,88.2,Calcário,Aspersão,Semanal,33,Composto,Nenhuma,Sim,Baixo,154.3961309140547,Outono,150
Soja,82,352.6,Aluvial,Aspersão,Semanal,30,Nenhum,Nenhuma,Não,Alto,111.34294166214048,Inverno,0
Cana-de-Açúcar,66,217.8,Calcário,Sulcos,Diária,20,Fosfato,Nenhuma,Sim,Baixo,75.99414801062687,Outono,180
Soja,54,237.6,Silte,Gotejamento,Diária,31,Composto,Ferrugem,Sim,Baixo,73.4655564006629,Inverno,150
Arroz,35,115.5,Areia,Sulcos,Semanal,27,Fosfato,Fungos,Sim,Médio,87.5364347246893,Primavera,180
Cana-de-Açúcar,80,272.0,Calcário,Aspersão,Diária,24,Composto,Insetos,Não,Baixo,132.3839997059181,Outono,150
Cana-de-Açúcar,61,189.1,Argila,Gotejamento,Semanal,20,Orgânico,Fungos,Não,Alto,157.18938840500937,Primavera,100
Milho,41,139.4,Argila,Aspersão,Semanal,18,Nitrogênio,Nenhuma,Não,Baixo,149.0296065076597,Verão,200
Milho,33,118.8,Calcário,Gotejamento,Diária,26,Nitrogênio,Fungos,Sim,Médio,91.99008454189143,Inverno,200
Trigo,68,170.0,Calcário,Sulcos,Mensal,20,Fosfato,Fungos,Sim,Médio,193.2297920994791,Verão,180
Trigo,33,92.4,Calcário,Aspersão,Mensal,23,Nitrogênio,Insetos,Não,Alto,160.68453750436527,Verão,200
Batata,14,40.6,Argila,Gotejamento,Diária,21,Fosfato,Insetos,Não,Médio,133.15310787671012,Verão,180
Uva,21,96.6,Argila,Gotejamento,Diária,33,Fosfato,Nenhuma,Sim,Baixo,141.75811193515284,Verão,180
Batata,48,148.8,Calcário,Sulcos,Mensal,26,Fosfato,Insetos,Não,Médio,112.94000936416849,Inverno,180
Café,20,66.0,Aluvial,Aspersão,Diária,20,Nitrogênio,Fungos,Não,Alto,87.15964842517363,Verão,200
Soja,8,20.0,Aluvial,Sulcos,Mensal,20,Fosfato,Ferrugem,Não,Médio,103.39590179768925,Inverno,180
Trigo,7,18.9,Silte,Gotejamento,Semanal,21,Nitrogênio,Fungos,Não,Médio,163.67691656965536,Inverno,200
Milho,67,207.7,Areia,Sulcos,Diária,21,Fosfato,Fungos,Sim,Médio,52.15902329446338,Primavera,180
Arroz,17,54.400000000000006,Aluvial,Gotejamento,Diária,24,Nenhum,Fungos,Sim,Alto,67.41089607603743,Outono,0
Milho,33,115.5,Argila,Aspersão,Mensal,25,Fosfato,Fungos,Não,Médio,56.90039630326291,Outono,180
Soja,48,148.8,Aluvial,Gotejamento,Mensal,24,Composto,Ferrugem,Sim,Médio,56.10932034784552,Inverno,150
Batata,76,311.6,Silte,Aspersão,Semanal,33,Fosfato,Ferrugem,Não,Baixo,178.3190876016511,Primavera,180
Milho,59,182.9,Silte,Gotejamento,Mensal,19,Orgânico,Nenhuma,Sim,Alto,155.54867890700353,Inverno,100
Uva,86,266.6,Areia,Sulcos,Mensal,24,Fosfato,Fungos,Não,Médio,121.12607436309878,Inverno,180
Café,22,68.2,Aluvial,Aspersão,Diária,18,Composto,Nenhuma,Não,Alto,64.67512409765023,Inverno,150
Soja,30,111.0,Argila,Sulcos,Semanal,31,Composto,Fungos,Sim,Médio,123.74238126752485,Primavera,150
Batata,38,91.2,Argila,Gotejamento,Mensal,19,Nitrogênio,Fungos,Não,Médio,121.02076561708485,Outono,200
Uva,51,214.2,Calcário,Aspersão,Mensal,35,Nenhum,Insetos,Sim,Médio,75.98028048650228,Primavera,0
Arroz,54,221.4,Argila,Gotejamento,Mensal,26,Fosfato,Nenhuma,Não,Baixo,115.07774738569596,Verão,180
Batata,8,19.2,Areia,Gotejamento,Mensal,19,Nitrogênio,Ferrugem,Sim,Baixo,109.775710159606,Primavera,200
Cana-de-Açúcar,27,89.1,Areia,Aspersão,Mensal,23,Nenhum,Ferrugem,Sim,Baixo,142.37751470783246,Primavera,0
Uva,27,91.8,Argila,Gotejamento,Mensal,29,Fosfato,Ferrugem,Não,Alto,145.26404763014656,Primavera,180
Uva,98,411.5999999999999,Argila,Sulcos,Semanal,26,Orgânico,Nenhuma,Sim,Alto,56.795601465806676,Primavera,100
Café,21,79.8,Calcário,Gotejamento,Semanal,27,Fosfato,Fungos,Não,Baixo,106.19189219397069,Outono,180
Soja,30,102.0,Argila,Sulcos,Semanal,23,Composto,Ferrugem,Não,Alto,143.87898735713546,Verão,150
Arroz,97,368.6,Calcário,Gotejamento,Semanal,30,Composto,Ferrugem,Sim,Médio,125.47043878701315,Outono,150
Café,28,78.4,Calcário,Sulcos,Semanal,20,Orgânico,Fungos,Não,Médio,178.47347617824835,Outono,100
Batata,64,262.4,Argila,Aspersão,Mensal,26,Nitrogênio,Nenhuma,Sim,Médio,148.80404474284177,Primavera,200
Café,97,358.90000000000003,Silte,Aspersão,Semanal,26,Nenhum,Fungos,Não,Baixo,74.44016406221445,Inverno,0
Uva,69,227.7,Silte,Gotejamento,Semanal,25,Fosfato,Fungos,Não,Alto,60.58531211006448,Inverno,180
Soja,61,176.9,Calcário,Aspersão,Mensal,19,Composto,Nenhuma,Sim,Baixo,146.36289173094735,Outono,150
Trigo,48,163.2,Argila,Sulcos,Mensal,19,Nitrogênio,Nenhuma,Não,Alto,53.976696581243274,Outono,200
Café,19,47.5,Silte,Gotejamento,Mensal,18,Orgânico,Insetos,Sim,Médio,137.8663371910195,Primavera,100
Cana-de-Açúcar,4,15.6,Argila,Gotejamento,Mensal,29,Composto,Ferrugem,Não,Baixo,191.03453621374365,Outono,150
Café,35,108.5,Argila,Sulcos,Semanal,20,Orgânico,Ferrugem,Sim,Alto,136.32112668138183,Primavera,100
Batata,64,198.4,Argila,Sulcos,Diária,21,Fosfato,Insetos,Sim,Alto,108.22548893097829,Inverno,180
Batata,49,156.8,Aluvial,Gotejamento,Mensal,25,Nenhum,Insetos,Sim,Médio,146.49323276635297,Inverno,0
Arroz,17,69.69999999999999,Argila,Gotejamento,Semanal,30,Composto,Nenhuma,Não,Baixo,118.73793357372749,Verão,150
Batata,44,127.6,Aluvial,Sulcos,Diária,19,Composto,Insetos,Sim,Baixo,131.84251839739022,Inverno,150
Milho,92,432.4,Calcário,Sulcos,Diária,34,Fosfato,Insetos,Não,Baixo,191.21972131647877,Outono,180
Soja,30,117.0,Silte,Aspersão,Mensal,27,Nitrogênio,Nenhuma,Não,Médio,107.91539567011614,Inverno,200
Soja,93,306.9,Silte,Sulcos,Mensal,23,Nenhum,Fungos,Sim,Baixo,194.17858457358713,Primavera,0
Trigo,46,161.0,Silte,Aspersão,Mensal,23,Composto,Nenhuma,Não,Médio,185.80259629340955,Inverno,150
Trigo,6,22.8,Silte,Gotejamento,Semanal,32,Nenhum,Fungos,Sim,Médio,79.36867021839447,Verão,0
Soja,99,425.7,Silte,Sulcos,Diária,30,Composto,Nenhuma,Sim,Médio,60.40419513127482,Inverno,150
Cana-de-Açúcar,37,111.0,Silte,Sulcos,Semanal,19,Nenhum,Fungos,Sim,Alto,65.116700206614,Primavera,0
Trigo,24,69.6,Silte,Gotejamento,Diária,19,Orgânico,Ferrugem,Não,Baixo,52.73327384773246,Primavera,100
Arroz,93,297.6,Calcário,Gotejamento,Semanal,21,Composto,Ferrugem,Sim,Baixo,64.16644411338926,Outono,150
Batata,46,151.8,Argila,Sulcos,Semanal,22,Nenhum,Fungos,Não,Médio,152.45101601245352,Inverno,0
Soja,53,196.1,Areia,Gotejamento,Diária,24,Nitrogênio,Nenhuma,Sim,Médio,60.678297269034346,Primavera,200
Uva,95,342.0,Aluvial,Aspersão,Diária,28,Orgânico,Fungos,Não,Baixo,97.8463445440642,Verão,100
Trigo,99,267.3,Areia,Sulcos,Semanal,21,Orgânico,Ferrugem,Não,Médio,176.73129664541818,Outono,100
Soja,60,210.0,Areia,Gotejamento,Mensal,30,Nitrogênio,Fungos,Não,Baixo,53.49079036037388,Verão,200
Milho,97,329.8,Argila,Gotejamento,Diária,21,Nenhum,Ferrugem,Não,Alto,172.17027238834038,Inverno,0
Café,63,233.1,Argila,Sulcos,Mensal,30,Fosfato,Ferrugem,Não,Médio,92.27821621600998,Inverno,180
Batata,85,306.0,Argila,Sulcos,Diária,23,Nitrogênio,Nenhuma,Não,Baixo,67.72472414324844,Inverno,200
Soja,32,83.2,Silte,Gotejamento,Semanal,18,Nenhum,Ferrugem,Não,Médio,154.5105748046226,Outono,0
Café,87,269.7,Calcário,Gotejamento,Diária,18,Nitrogênio,Fungos,Sim,Baixo,144.3414270169826,Primavera,200
Trigo,33,108.9,Silte,Aspersão,Diária,23,Nitrogênio,Insetos,Sim,Baixo,181.62080202905796,Outono,200
Café,67,234.5,Calcário,Gotejamento,Mensal,25,Composto,Nenhuma,Sim,Médio,160.26065657058285,Verão,150
Batata,18,70.2,Calcário,Gotejamento,Diária,29,Nenhum,Insetos,Não,Alto,170.5221395577273,Outono,0
Soja,25,92.5,Areia,Aspersão,Mensal,32,Fosfato,Ferrugem,Sim,Baixo,92.30518588569598,Verão,180
Milho,95,370.5,Areia,Gotejamento,Semanal,31,Composto,Insetos,Não,Baixo,76.61593156695842,Outono,150
Cana-de-Açúcar,54,286.2,Calcário,Aspersão,Diária,35,Nitrogênio,Nenhuma,Sim,Baixo,162.59221274612875,Primavera,200
Trigo,58,139.2,Calcário,Aspersão,Mensal,19,Nitrogênio,Fungos,Sim,Alto,171.0252108900896,Verão,200
Soja,67,214.4,Silte,Sulcos,Diária,22,Nitrogênio,Fungos,Não,Alto,198.575771300101,Inverno,200
Batata,46,115.0,Silte,Gotejamento,Mensal,20,Nenhum,Insetos,Sim,Médio,111.89265153671397,Inverno,0
Trigo,24,91.2,Areia,Sulcos,Semanal,25,Nenhum,Nenhuma,Não,Alto,105.80271286891747,Outono,0
Arroz,32,131.2,Argila,Gotejamento,Diária,31,Composto,Insetos,Não,Médio,166.46194411129954,Inverno,150
Café,47,235.0,Calcário,Aspersão,Semanal,34,Fosfato,Nenhuma,Sim,Médio,101.12053103795267,Verão,180
Cana-de-Açúcar,86,335.4,Silte,Sulcos,Diária,31,Composto,Fungos,Sim,Alto,189.6135988405347,Inverno,150
Batata,23,96.6,Areia,Gotejamento,Mensal,32,Orgânico,Ferrugem,Não,Médio,178.76191277645177,Primavera,100
Arroz,66,224.4,Silte,Aspersão,Semanal,23,Nitrogênio,Nenhuma,Sim,Alto,114.34910410625275,Primavera,200
Uva,27,129.6,Calcário,Aspersão,Diária,35,Nitrogênio,Insetos,Sim,Médio,162.6306601687246,Outono,200
Soja,2,6.6000000000000005,Calcário,Gotejamento,Semanal,22,Nitrogênio,Insetos,Não,Alto,163.18143111270234,Verão,200
Milho,90,252.0,Aluvial,Aspersão,Diária,20,Composto,Fungos,Não,Alto,65.4685803253899,Primavera,150
Trigo,17,66.3,Argila,Aspersão,Mensal,29,Composto,Ferrugem,Não,Médio,185.382936001935,Primavera,150
Café,33,115.5,Aluvial,Aspersão,Mensal,28,Nitrogênio,Fungos,Sim,Baixo,125.78785586717858,Verão,200
Trigo,9,27.9,Areia,Aspersão,Mensal,24,Composto,Ferrugem,Não,Médio,173.96861991616123,Inverno,150
Cana-de-Açúcar,43,159.1,Silte,Sulcos,Diária,29,Nenhum,Insetos,Não,Alto,98.00744015459176,Inverno,0
Soja,48,240.0,Areia,Sulcos,Diária,35,Nenhum,Nenhuma,Sim,Baixo,184.32848427443008,Outono,0
Trigo,39,132.6,Calcário,Sulcos,Diária,19,Composto,Nenhuma,Sim,Médio,108.38025181012446,Inverno,150
Café,93,362.7,Aluvial,Gotejamento,Semanal,33,Nitrogênio,Insetos,Não,Médio,51.625647722044754,Verão,200
Soja,42,176.4,Aluvial,Gotejamento,Semanal,34,Composto,Ferrugem,Não,Médio,185.80729646288955,Primavera,150
Trigo,26,98.8,Aluvial,Sulcos,Diária,30,Composto,Fungos,Sim,Baixo,63.69300151792004,Inverno,150
Milho,99,356.40000000000003,Areia,Gotejamento,Diária,18,Composto,Nenhuma,Não,Alto,97.89704563856223,Outono,150
Batata,50,210.0,Calcário,Aspersão,Mensal,32,Orgânico,Nenhuma,Não,Médio,192.50929505762073,Inverno,100
Soja,25,77.5,Silte,Aspersão,Mensal,24,Nenhum,Ferrugem,Sim,Médio,192.5910720406334,Verão,0
Batata,24,74.4,Silte,Gotejamento,Diária,18,Fosfato,Fungos,Sim,Médio,136.0156832184929,Outono,180
Uva,13,46.8,Areia,Sulcos,Diária,26,Fosfato,Fungos,Sim,Médio,144.77558182546989,Inverno,180
Soja,60,210.0,Aluvial,Gotejamento,Diária,25,Orgânico,Fungos,Sim,Médio,117.26682829674796,Outono,100
Milho,7,27.3,Argila,Aspersão,Mensal,32,Composto,Fungos,Sim,Alto,93.98161575470968,Verão,150
Batata,57,193.8,Areia,Sulcos,Diária,21,Orgânico,Nenhuma,Sim,Alto,99.2996818054874,Primavera,100
Arroz,36,115.2,Areia,Aspersão,Diária,24,Orgânico,Insetos,Não,Médio,150.87776841155576,Verão,100
Café,45,193.5,Calcário,Sulcos,Diária,33,Nitrogênio,Insetos,Sim,Baixo,162.856179415652,Verão,200
Arroz,20,64.0,Silte,Sulcos,Diária,19,Nenhum,Insetos,Sim,Alto,168.73685655887726,Verão,0
Trigo,65,221.0,Areia,Sulcos,Diária,21,Fosfato,Insetos,Não,Baixo,168.4427214191831,Verão,180
Milho,8,32.0,Areia,Sulcos,Mensal,33,Composto,Insetos,Não,Alto,63.680915457303556,Primavera,150
Arroz,16,57.6,Aluvial,Aspersão,Diária,28,Fosfato,Fungos,Não,Médio,124.16304570538722,Primavera,180
Soja,14,53.2,Aluvial,Gotejamento,Mensal,23,Fosfato,Nenhuma,Sim,Alto,58.63381400249664,Outono,180
Trigo,76,228.0,Argila,Aspersão,Mensal,18,Nenhum,Nenhuma,Sim,Médio,132.42933234856034,Inverno,0
Trigo,87,382.8,Calcário,Sulcos,Mensal,34,Fosfato,Ferrugem,Não,Alto,116.22957520600656,Primavera,180
Arroz,15,64.5,Argila,Sulcos,Diária,30,Fosfato,Insetos,Não,Médio,183.15562741374495,Primavera,180
Uva,92,368.0,Aluvial,Gotejamento,Diária,30,Orgânico,Insetos,Não,Médio,102.6372518828118,Inverno,100
Arroz,98,401.8,Silte,Gotejamento,Mensal,29,Nenhum,Nenhuma,Não,Médio,67.56005246414088,Primavera,0
Uva,66,290.40000000000003,Aluvial,Sulcos,Semanal,31,Nitrogênio,Nenhuma,Sim,Médio,71.44875230792537,Verão,200
Milho,32,140.8,Calcário,Gotejamento,Diária,34,Composto,Fungos,Não,Baixo,164.22659475762083,Verão,150
Café,87,408.9,Aluvial,Aspersão,Diária,34,Fosfato,Insetos,Sim,Médio,142.73270949743915,Inverno,180
